Latitude,Longitude,Location Count
40.320976321428574,-75.27042592857143,28
40.0944211875,-76.53906221875,32
39.40220276470588,-74.544042,17
39.94784763888889,-75.66188511111112,36
40.612239125,-77.57477312500001,8
40.77122971428572,-76.18224542857143,14
40.07294857142857,-74.70610271428572,7
40.1544610754717,-76.22762245283019,53
40.862448,-76.7621944,5
39.80483771428571,-77.04843542857142,14
40.15605354347826,-75.13305223913044,46
39.43129438888889,-75.679969,18
40.348438875,-75.97076849999999,24
40.54796233333333,-74.81810416666667,6
39.86989442857143,-77.665159,7
40.05197072549019,-76.33104190196079,102
40.399952,-74.237876,6
40.02324926315789,-75.34909313157895,38
40.23879935,-76.8536625,20
40.356492230769234,-75.71043838461539,13
40.878285500000004,-75.25494525,4
40.303833,-74.68143183333333,12
39.036499375,-74.881577,8
39.503417375,-74.956235125,8
41.22950342857143,-76.87047657142857,7
40.31124273333334,-76.51142273333333,15
39.92608705263158,-76.16540010526316,19
41.10539,-78.38756,1
40.218035,-74.8789118611111,36
39.644841944444444,-75.61498988888889,18
39.93678472,-76.69916812,25
39.768898666666665,-74.24930233333333,3
40.18742645,-75.4805561,20
39.8643876,-74.8610427,10
41.50974,-75.699714,1
40.172689875,-75.854150875,8
40.6227204,-75.5252734,5
39.860395625,-75.1520350625,16
40.419532,-77.1146335,4
