Latitude,Longitude,Location Count
39.860395625,-75.1520350625,16
40.0944211875,-76.53906221875,32
39.876652,-74.85140372727273,11
40.17754442857143,-76.24391907142858,42
40.301562125,-77.05095225,8
39.40220276470588,-74.544042,17
41.1533265,-76.04865375,4
40.20371776923077,-75.78547384615385,13
39.44040423809524,-75.64945557142858,21
40.31704062068965,-75.27335320689656,29
40.6680539,-76.1642181,10
40.3761945,-74.6256782,10
41.22950342857143,-76.87047657142857,7
40.612239125,-77.57477312500001,8
40.354075384615385,-75.95833165384616,26
40.18530704878049,-74.8289731707317,41
40.050802775510206,-76.33323498979591,98
39.86989442857143,-77.665159,7
39.80483771428571,-77.04843542857142,14
40.878285500000004,-75.25494525,4
40.25327,-76.81178352941177,17
39.036499375,-74.881577,8
41.10539,-78.38756,1
39.67479766666666,-75.64471286666667,15
40.5378132,-75.62357709999999,10
40.8875585,-76.704221,6
39.93678472,-76.69916812,25
39.503417375,-74.956235125,8
40.02324926315789,-75.34909313157895,38
40.15605354347826,-75.13305223913044,46
40.3495578,-74.1902942,5
40.4586763,-74.9145442,10
40.1900659,-75.4942984,20
40.054082,-76.1877970952381,21
39.768898666666665,-74.24930233333333,3
39.88552653846154,-76.16365361538462,13
40.31461921428571,-76.49965621428572,14
39.94784763888889,-75.66188511111112,36
