Latitude,Longitude,Location Count
41.74652418,-72.65130868,50
42.95796566666667,-71.4844590952381,21
42.82656936363637,-73.84541409090909,11
42.318191,-71.10415952380953,63
44.1517714,-70.5487028,5
38.93933,-77.00285,1
44.41368249999999,-72.08146350000001,2
41.49035788235294,-72.08216388235294,17
42.980585,-77.420032,1
41.266388375,-73.2784211875,16
42.07908364,-72.59799632,25
41.72961433333333,-73.990225,3
44.02374925,-73.017498,4
44.348439,-69.45575533333333,3
43.4592328,-72.2233584,5
43.284766,-70.8390948,5
41.363655,-72.88018621428571,28
42.37077241666667,-71.60943133333333,12
42.79560988,-71.28288052,25
41.7982098125,-72.257661375,16
43.02677442857143,-74.30425957142857,7
44.8049855,-73.0845625,2
42.489479333333335,-72.53702844444445,9
41.82205203703704,-72.93869440740741,27
42.693302,-73.150926,2
