Latitude,Longitude,Total Orders,Total Deliveries,Avg. Revenue,Location Count
40.150409475000004,-76.0047144,10.425,11.950000000000003,201.58960849999994,41
40.137357,-76.033518,10.25,16.75,4166.703686000001,4
39.356286,-74.435967,9.0,13.0,29764.98111,1
40.05099408,-75.87363768,11.16,18.16,1487.10085536,25
39.984759,-76.266395,13.0,21.0,9873.292308,1
40.121926307692306,-75.80320461538462,11.923076923076923,19.76923076923077,2525.164453769231,13
40.21496881481482,-75.77280625925926,14.037037037037038,20.074074074074076,866.8826057037038,27
39.627827499999995,-75.8809005,14.5,24.0,6525.8599755,2
40.15349401694915,-76.07641198305085,11.593220338983052,15.491525423728815,515.247568077966,59
40.253071750000004,-75.5214335,16.25,27.000000000000004,5154.45463075,4
40.00518816666666,-75.13387216666666,12.0,19.0,2906.2367339166667,12
40.109421142857144,-75.63556407142858,17.071428571428573,35.64285714285714,2193.7262245,14
40.08464276,-75.90331076,14.120000000000001,21.480000000000004,1236.96738008,25
40.087763,-75.33487816666667,15.333333333333334,22.666666666666664,3510.083725833333,6
40.509661,-74.863329,10.0,13.0,8441.388,1
40.171953875,-75.8985553125,12.84375,16.8125,645.320065659375,64
39.73692875,-75.7859695,9.5,19.5,5559.196583250001,4
40.00343954545455,-75.4768425,9.90909090909091,16.863636363636363,1860.587970818182,22
39.810554,-74.923127,25.0,31.0,10915.7496,1
39.8221775,-75.98349233333333,11.5,23.666666666666668,3769.1503959999995,6
40.031400444444444,-75.88906755555556,11.222222222222223,20.11111111111111,3108.3250177777772,9
40.08359695238095,-76.12259021428571,12.38095238095238,13.500000000000002,137.93508043333327,42
40.17200621052631,-75.77503642105263,13.157894736842106,20.42105263157895,1677.2075602631578,19
40.0784095,-75.7627351875,12.84375,18.28125,966.893574315625,32
40.126529614035086,-75.9926344736842,11.578947368421053,14.192982456140353,408.56845075263163,55
40.00806133333333,-75.791649,10.0,18.666666666666668,6916.875560333334,3
40.048711142857144,-75.74182514285714,13.238095238095237,20.571428571428573,2045.498254190476,21
39.91032436363636,-75.63641254545455,12.272727272727273,19.545454545454547,2733.326872818182,11
40.117469444444446,-75.83094872222222,9.11111111111111,9.77777777777778,59.522044787222285,18
39.9150056,-75.2387353,10.4,15.9,2361.1275531,10
40.14857966666666,-75.3566085,12.833333333333334,21.166666666666664,4952.899905166667,6
39.9678035,-75.52216543749999,14.8125,22.9375,1152.0226456875,16
40.1864794,-76.2730354,9.8,15.0,4398.360222,5
40.07006653846154,-75.6794055,11.807692307692308,17.153846153846153,1361.5612274615385,26
40.060048025641024,-75.80439628205129,11.35897435897436,15.0,760.4766312589744,39
40.126,-75.43767466666667,13.333333333333334,21.0,5863.091597000001,3
40.11918790243902,-75.92741714634147,11.170731707317074,13.365853658536587,296.3016337268293,42
40.0344001875,-75.741947,11.5625,15.375,1060.5810815625,16
40.0833742,-75.4101504,10.8,18.8,3326.6499286000003,5
39.9674755,-76.0418525,15.75,26.25,3924.95811325,4
