Latitude,Longitude,Total Orders,Total Deliveries,Avg. Revenue,Location Count
40.162568972222225,-76.04547590277778,12.152777777777779,16.055555555555557,526.6958589319444,71
40.104604583333334,-76.09615008333333,11.916666666666666,18.916666666666668,4208.351858916667,12
39.356286,-74.435967,9.0,13.0,29764.98111,1
40.072995142857145,-75.69932071428572,14.771428571428572,26.6,2104.7894423142857,35
40.098956,-76.294497,6.0,14.0,7082.105,1
40.095249333333335,-75.8022848,11.366666666666667,18.166666666666668,1528.3078161,30
39.810554,-74.923127,25.0,31.0,10915.7496,1
39.99606364516129,-75.55137116129032,11.967741935483872,19.741935483870968,2911.273383903226,31
40.1903765,-75.4225385,14.200000000000003,23.500000000000004,5033.5217954,10
40.08921344444445,-76.04375712698413,11.222222222222221,12.174603174603176,117.1295884646031,66
40.08837222580645,-75.82171074193548,11.419354838709678,16.935483870967744,1364.0582119032258,31
39.99849922222222,-75.63743516666666,12.5,21.77777777777778,3564.8266874444444,18
40.14316248979592,-75.72606928571429,12.326530612244898,17.26530612244898,828.9869922734695,48
40.140101765625,-75.99477728125,11.265625,13.203125000000002,235.47964575624997,64
40.05903996969697,-75.6035053939394,11.363636363636363,18.454545454545457,1812.834292787879,33
40.00898145833333,-75.51437995833334,11.166666666666666,17.833333333333332,2462.720837375,24
39.984759,-76.266395,13.0,21.0,9873.292308,1
40.126,-75.43767466666667,13.333333333333334,21.0,5863.091597000001,3
40.06078610638298,-75.73034682978724,12.553191489361703,17.553191489361705,995.8305322574467,48
40.509661,-74.863329,10.0,13.0,8441.388,1
40.017462925000004,-75.70385625,14.5,22.25,1197.045627175,40
39.79522075,-75.71056275,13.25,22.5,6680.060407999999,4
40.12859411428571,-75.94520591428571,11.200000000000001,13.671428571428573,392.23214814000005,68
40.13970352173913,-75.92338060869565,12.405797101449275,16.28985507246377,676.5356037101449,69
39.73692875,-75.7859695,9.5,19.5,5559.196583250001,4
